ordem,coluna,tipo,registros_total,registros_preenchidos,percentual_preenchido
153,QT_MAT_BAS_ND,int64,178766,178766,100.0
154,QT_MAT_BAS_BRANCA,int64,178766,178766,100.0
155,QT_MAT_BAS_PRETA,int64,178766,178766,100.0
156,QT_MAT_BAS_PARDA,int64,178766,178766,100.0
157,QT_MAT_BAS_AMARELA,int64,178766,178766,100.0
158,QT_MAT_BAS_INDIGENA,int64,178766,178766,100.0
159,QT_MAT_BAS_0_3,int64,178766,178766,100.0
160,QT_MAT_BAS_4_5,int64,178766,178766,100.0
161,QT_MAT_BAS_6_10,int64,178766,178766,100.0
162,QT_MAT_BAS_11_14,int64,178766,178766,100.0
163,QT_MAT_BAS_15_17,int64,178766,178766,100.0
164,QT_MAT_BAS_18_MAIS,int64,178766,178766,100.0
165,QT_MAT_BAS_0_3_REF_31_03,int64,178766,178766,100.0
166,QT_MAT_BAS_4_5_REF_31_03,int64,178766,178766,100.0
167,QT_MAT_BAS_6_10_REF_31_03,int64,178766,178766,100.0
168,QT_MAT_BAS_11_14_REF_31_03,int64,178766,178766,100.0
169,QT_MAT_BAS_15_17_REF_31_03,int64,178766,178766,100.0
170,QT_MAT_BAS_18_MAIS_REF_31_03,int64,178766,178766,100.0
171,QT_MAT_BAS_D,int64,178766,178766,100.0
172,QT_MAT_BAS_DM,int64,178766,178766,100.0
173,QT_MAT_BAS_DV,int64,178766,178766,100.0
174,QT_MAT_BAS_N,int64,178766,178766,100.0
175,QT_MAT_BAS_EAD,int64,178766,178766,100.0
176,QT_MAT_INF_CRE_D,int64,178766,178766,100.0
177,QT_MAT_INF_CRE_DM,int64,178766,178766,100.0
178,QT_MAT_INF_CRE_DV,int64,178766,178766,100.0
179,QT_MAT_INF_CRE_N,int64,178766,178766,100.0
180,QT_MAT_INF_PRE_D,int64,178766,178766,100.0
181,QT_MAT_INF_PRE_DM,int64,178766,178766,100.0
182,QT_MAT_INF_PRE_DV,int64,178766,178766,100.0
183,QT_MAT_INF_PRE_N,int64,178766,178766,100.0
184,QT_MAT_FUND_D,int64,178766,178766,100.0
185,QT_MAT_FUND_DM,int64,178766,178766,100.0
186,QT_MAT_FUND_DV,int64,178766,178766,100.0
187,QT_MAT_FUND_N,int64,178766,178766,100.0
188,QT_MAT_FUND_AI_D,int64,178766,178766,100.0
189,QT_MAT_FUND_AI_DM,int64,178766,178766,100.0
190,QT_MAT_FUND_AI_DV,int64,178766,178766,100.0
191,QT_MAT_FUND_AI_N,int64,178766,178766,100.0
192,QT_MAT_FUND_AF_D,int64,178766,178766,100.0
193,QT_MAT_FUND_AF_DM,int64,178766,178766,100.0
194,QT_MAT_FUND_AF_DV,int64,178766,178766,100.0
195,QT_MAT_FUND_AF_N,int64,178766,178766,100.0
196,QT_MAT_MED_D,int64,178766,178766,100.0
197,QT_MAT_MED_DM,int64,178766,178766,100.0
198,QT_MAT_MED_DV,int64,178766,178766,100.0
199,QT_MAT_MED_N,int64,178766,178766,100.0
200,QT_MAT_MED_EAD,int64,178766,178766,100.0
201,QT_MAT_PROF_D,int64,178766,178766,100.0
202,QT_MAT_PROF_DM,int64,178766,178766,100.0
203,QT_MAT_PROF_DV,int64,178766,178766,100.0
204,QT_MAT_PROF_N,int64,178766,178766,100.0
205,QT_MAT_PROF_EAD,int64,178766,178766,100.0
206,QT_MAT_PROF_TEC_D,int64,178766,178766,100.0
207,QT_MAT_PROF_TEC_DM,int64,178766,178766,100.0
208,QT_MAT_PROF_TEC_DV,int64,178766,178766,100.0
209,QT_MAT_PROF_TEC_N,int64,178766,178766,100.0
210,QT_MAT_PROF_TEC_EAD,int64,178766,178766,100.0
211,QT_MAT_EJA_D,int64,178766,178766,100.0
212,QT_MAT_EJA_DM,int64,178766,178766,100.0
213,QT_MAT_EJA_DV,int64,178766,178766,100.0
214,QT_MAT_EJA_N,int64,178766,178766,100.0
215,QT_MAT_EJA_EAD,int64,178766,178766,100.0
216,QT_MAT_EJA_FUND_D,int64,178766,178766,100.0
217,QT_MAT_EJA_FUND_DM,int64,178766,178766,100.0
218,QT_MAT_EJA_FUND_DV,int64,178766,178766,100.0
219,QT_MAT_EJA_FUND_N,int64,178766,178766,100.0
220,QT_MAT_EJA_FUND_EAD,int64,178766,178766,100.0
221,QT_MAT_EJA_MED_D,int64,178766,178766,100.0
222,QT_MAT_EJA_MED_DM,int64,178766,178766,100.0
223,QT_MAT_EJA_MED_DV,int64,178766,178766,100.0
224,QT_MAT_EJA_MED_N,int64,178766,178766,100.0
225,QT_MAT_EJA_MED_EAD,int64,178766,178766,100.0
226,QT_MAT_ESP_D,int64,178766,178766,100.0
227,QT_MAT_ESP_DM,int64,178766,178766,100.0
228,QT_MAT_ESP_DV,int64,178766,178766,100.0
229,QT_MAT_ESP_N,int64,178766,178766,100.0
230,QT_MAT_ESP_EAD,int64,178766,178766,100.0
231,QT_MAT_ESP_CC_D,int64,178766,178766,100.0
232,QT_MAT_ESP_CC_DM,int64,178766,178766,100.0
233,QT_MAT_ESP_CC_DV,int64,178766,178766,100.0
234,QT_MAT_ESP_CC_N,int64,178766,178766,100.0
235,QT_MAT_ESP_CC_EAD,int64,178766,178766,100.0
236,QT_MAT_ESP_CE_D,int64,178766,178766,100.0
237,QT_MAT_ESP_CE_DM,int64,178766,178766,100.0
238,QT_MAT_ESP_CE_DV,int64,178766,178766,100.0
239,QT_MAT_ESP_CE_N,int64,178766,178766,100.0
240,QT_MAT_ESP_CE_EAD,int64,178766,178766,100.0
241,QT_MAT_BAS_INT,int64,178766,178766,100.0
242,QT_MAT_INF_INT,int64,178766,178766,100.0
243,QT_MAT_INF_CRE_INT,int64,178766,178766,100.0
244,QT_MAT_INF_PRE_INT,int64,178766,178766,100.0
245,QT_MAT_FUND_INT,int64,178766,178766,100.0
246,QT_MAT_FUND_AI_INT,int64,178766,178766,100.0
247,QT_MAT_FUND_AF_INT,int64,178766,178766,100.0
248,QT_MAT_MED_INT,int64,178766,178766,100.0
249,QT_MAT_PROF_INT,int64,178766,178766,100.0
250,QT_MAT_PROF_TEC_INT,int64,178766,178766,100.0
251,QT_MAT_EJA_INT,int64,178766,178766,100.0
252,QT_MAT_EJA_FUND_INT,int64,178766,178766,100.0
253,QT_MAT_EJA_MED_INT,int64,178766,178766,100.0
254,QT_MAT_ESP_INT,int64,178766,178766,100.0
255,QT_MAT_ESP_CC_INT,int64,178766,178766,100.0
256,QT_MAT_ESP_CE_INT,int64,178766,178766,100.0
257,QT_MAT_BAS_LIBRAS,int64,178766,178766,100.0
258,QT_MAT_ZR_URB,int64,178766,178766,100.0
259,QT_MAT_ZR_RUR,int64,178766,178766,100.0
260,QT_MAT_ZR_NA,int64,178766,178766,100.0
261,QT_TRANSP_PUBLICO,int64,178766,178766,100.0
262,QT_TRANSP_RESP_EST,int64,178766,178766,100.0
263,QT_TRANSP_RESP_MUN,int64,178766,178766,100.0
