ordem,coluna,tipo,registros_total,registros_preenchidos,percentual_preenchido
157,IN_EQUIP_PARABOLICA,float64,214192,180540,84.29
158,IN_COMPUTADOR,float64,214192,180540,84.29
159,IN_EQUIP_COPIADORA,float64,214192,180540,84.29
160,IN_EQUIP_IMPRESSORA,float64,214192,180540,84.29
161,IN_EQUIP_IMPRESSORA_MULT,float64,214192,180540,84.29
162,IN_EQUIP_SCANNER,float64,214192,180540,84.29
163,IN_EQUIP_NENHUM,float64,214192,180540,84.29
164,IN_EQUIP_DVD,float64,214192,180540,84.29
165,QT_EQUIP_DVD,float64,214192,180540,84.29
166,IN_EQUIP_SOM,float64,214192,180540,84.29
167,QT_EQUIP_SOM,float64,214192,180540,84.29
168,IN_EQUIP_TV,float64,214192,180540,84.29
169,QT_EQUIP_TV,float64,214192,180540,84.29
170,IN_EQUIP_LOUSA_DIGITAL,float64,214192,180540,84.29
171,QT_EQUIP_LOUSA_DIGITAL,float64,214192,180540,84.29
172,IN_EQUIP_MULTIMIDIA,float64,214192,180540,84.29
173,QT_EQUIP_MULTIMIDIA,float64,214192,180540,84.29
174,IN_DESKTOP_ALUNO,float64,214192,180540,84.29
175,QT_DESKTOP_ALUNO,float64,214192,180540,84.29
176,IN_COMP_PORTATIL_ALUNO,float64,214192,180540,84.29
177,QT_COMP_PORTATIL_ALUNO,float64,214192,180540,84.29
178,IN_TABLET_ALUNO,float64,214192,180540,84.29
179,QT_TABLET_ALUNO,float64,214192,180540,84.29
180,IN_INTERNET,float64,214192,180540,84.29
181,IN_INTERNET_ALUNOS,float64,214192,180540,84.29
182,IN_INTERNET_ADMINISTRATIVO,float64,214192,180540,84.29
183,IN_INTERNET_APRENDIZAGEM,float64,214192,180540,84.29
184,IN_INTERNET_COMUNIDADE,float64,214192,180540,84.29
185,IN_ACESSO_INTERNET_COMPUTADOR,float64,214192,180540,84.29
186,IN_ACES_INTERNET_DISP_PESSOAIS,float64,214192,180540,84.29
