ano,grupo,teste,esperado,observado,status
2022,Infraestrutura,IN_ESGOTO_REDE_PUBLICA: válidos + nulos = escolas ativas,184332,184332,OK
2022,Infraestrutura,IN_ESGOTO_REDE_PUBLICA: zero + um = válidos,180073,180073,OK
2022,Infraestrutura,IN_ESGOTO_REDE_PUBLICA: percentual entre 0 e 1,0 <= percentual <= 1,0.5707185419246639,OK
2022,Infraestrutura,IN_ENERGIA_REDE_PUBLICA: válidos + nulos = escolas ativas,184332,184332,OK
2022,Infraestrutura,IN_ENERGIA_REDE_PUBLICA: zero + um = válidos,180073,180073,OK
2022,Infraestrutura,IN_ENERGIA_REDE_PUBLICA: percentual entre 0 e 1,0 <= percentual <= 1,0.9684294702703904,OK
2023,Infraestrutura,IN_INTERNET: válidos + nulos = escolas ativas,180230,180230,OK
2023,Infraestrutura,IN_INTERNET: zero + um = válidos,180230,180230,OK
2023,Infraestrutura,IN_INTERNET: percentual entre 0 e 1,0 <= percentual <= 1,0.9091438717194695,OK
2023,Infraestrutura,IN_BIBLIOTECA: válidos + nulos = escolas ativas,180230,180230,OK
2023,Infraestrutura,IN_BIBLIOTECA: zero + um = válidos,180230,180230,OK
2023,Infraestrutura,IN_BIBLIOTECA: percentual entre 0 e 1,0 <= percentual <= 1,0.36554402707651334,OK
2023,Infraestrutura,IN_SALA_LEITURA: válidos + nulos = escolas ativas,180230,180230,OK
2023,Infraestrutura,IN_SALA_LEITURA: zero + um = válidos,180230,180230,OK
2023,Infraestrutura,IN_SALA_LEITURA: percentual entre 0 e 1,0 <= percentual <= 1,0.2725517394440437,OK
2023,Infraestrutura,IN_LABORATORIO_CIENCIAS: válidos + nulos = escolas ativas,180230,180230,OK
2023,Infraestrutura,IN_LABORATORIO_CIENCIAS: zero + um = válidos,180230,180230,OK
2023,Infraestrutura,IN_LABORATORIO_CIENCIAS: percentual entre 0 e 1,0 <= percentual <= 1,0.12548410364534207,OK
2023,Infraestrutura,IN_LABORATORIO_INFORMATICA: válidos + nulos = escolas ativas,180230,180230,OK
2023,Infraestrutura,IN_LABORATORIO_INFORMATICA: zero + um = válidos,180230,180230,OK
2023,Infraestrutura,IN_LABORATORIO_INFORMATICA: percentual entre 0 e 1,0 <= percentual <= 1,0.30222493480552626,OK
2023,Infraestrutura,IN_QUADRA_ESPORTES: válidos + nulos = escolas ativas,180230,180230,OK
